variant,scenario,cell_type,r,bias,var_ratio,rmse
music,tumor_purity,Myeloid,0.9805111162721858,0.014716831151995602,1.090523208160166,0.016143483859890184
music,tumor_purity,Normal_Epithelial,0.6145620934806425,0.20801546142313704,1.4761867153653838,0.2098863264927091
music,tumor_purity,PVL,0.9693131708552534,0.02607925283967533,1.58686383169264,0.029425917856427834
music,tumor_purity,Plasma,0.8991046090526789,-0.02397388002737226,0.06571873699166518,0.033505252767108605
music,tumor_purity,T_cells,0.9252351894876694,0.01692943786868075,1.293166128673568,0.020754302765694302
music,titration,B cell,0.7885248672986727,-0.0009018544418955692,0.7919522804171015,0.045623935630477994
music,titration,CAF,0.9814444334414683,-0.009575626667908496,0.5324938176071283,0.02005702092032786
music,titration,Endothelial,0.9915532412718339,0.020838582015219223,1.4347054118306541,0.02830636013239667
music,titration,Malignant,0.9961259539135461,-0.1531026616363049,0.3952651602823922,0.18727701314156625
music,titration,Myeloid,0.9846522511879949,0.01737922292627656,1.2319853922681583,0.02312299100665344
music,titration,Normal_Epithelial,0.6419771185439329,0.14132821353959985,1.1090793016155431,0.1560178467951728
music,titration,PVL,0.9846555375465744,0.03184460526270154,1.427558324322478,0.036844610600915796
music,titration,Plasma,0.9573963890364408,-0.04975564320226856,0.2529254278748191,0.06878772948459545
music,titration,T_cells,0.9716104336830406,0.0019451622045806901,0.7876261334152874,0.0247077908498177
music,uniform,B cell,0.903831860855155,-0.015339939608339712,1.0435333902853103,0.04476490506778997
music,uniform,CAF,0.9894306385432828,-0.02804959631828217,0.5880089829733872,0.04093625348851122
music,uniform,Endothelial,0.9896517422190716,0.0323719188207504,1.3049605006657614,0.03870764594847207
music,uniform,Malignant,0.9902328281700521,-0.0282035697922955,0.4245999553767131,0.04697689686226419
music,uniform,Myeloid,0.9889154456154535,0.024811465017670776,1.2981992334352763,0.03363977802776754
music,uniform,Normal_Epithelial,0.9572075753993639,0.064018017331309,1.2674878375210534,0.07248506341915922
music,uniform,PVL,0.9809405646995075,0.03750277716712531,1.2402990560957117,0.04268589923753843
music,uniform,Plasma,0.964845406883928,-0.06618471031494513,0.29643253768689765,0.08290147192428454
music,uniform,T_cells,0.9721342154991696,-0.02092636230299265,0.8343906275863006,0.031710774581385874
music,sparse,B cell,0.9547197051709639,-0.003808559532826371,0.8965976248272166,0.046966114610964664
music,sparse,CAF,0.9943743279752504,-0.025715349741813272,0.5469221357539371,0.04854781720913625
music,sparse,Endothelial,0.9914275565049431,0.02199484610600979,1.0670346977787164,0.03139187993866739
music,sparse,Malignant,0.9951962736938909,-0.03308996726785422,0.4010090170906141,0.07428365300440366
music,sparse,Myeloid,0.993400538635184,0.019672490576979233,1.20079160716538,0.03425965333484576
music,sparse,Normal_Epithelial,0.9541238996041542,0.053243069920752964,1.126281476174655,0.07274939473897044
music,sparse,PVL,0.9894479048329203,0.029638170884356142,1.1320347141116456,0.03889279256873822
music,sparse,Plasma,0.963737077892121,-0.04799808326432714,0.603217618194922,0.07286600531037159
music,sparse,T_cells,0.9897101447012459,-0.013936617681276877,0.8335462579959204,0.029777484647751463
dwls_minor,tumor_purity,B cell,0.5291901412934649,0.01409525395479748,2.4725399777715737,0.0484500323374155
dwls_minor,tumor_purity,CAF,0.8535392996581966,0.022280271574056258,0.8618617289047777,0.028768521889581466
dwls_minor,tumor_purity,Endothelial,0.9434801186915048,-0.005348114813919312,0.7496296547509999,0.01118660517284377
dwls_minor,tumor_purity,Malignant,0.8702116121757353,-0.31592983330789454,0.5874956848250686,0.31957947823221994
dwls_minor,tumor_purity,Myeloid,0.9632805332431142,-0.002388421014127101,0.49007337384952415,0.012312546236544833
dwls_minor,tumor_purity,Normal_Epithelial,0.3958701012038581,0.16182825937303125,2.3813614669931114,0.1670518990931766
dwls_minor,tumor_purity,PVL,0.9561135315570676,0.02060447782314296,1.498502224730938,0.0250375962355069
dwls_minor,tumor_purity,Plasma,0.8946340417075798,0.0896139032969419,12.763013377543887,0.12127717062574728
dwls_minor,tumor_purity,T_cells,0.7483510620006231,0.015244203113971335,2.3331404880413675,0.03211599356773662
dwls_minor,titration,B cell,0.6724396705445166,-0.010559397749989943,1.0277387753440013,0.060576105574830556
dwls_minor,titration,CAF,0.8529080608063777,-0.000696032317148128,0.6231447306157917,0.029298440846189277
dwls_minor,titration,Endothelial,0.9670279925717671,-0.017807797890245673,0.6151023041361229,0.030407452213494446
dwls_minor,titration,Malignant,0.9843399508124554,-0.19380897096346925,0.36960832950843325,0.2272435355642196
