                    p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
NID1_ITGAV           0.039955   8.000764   0.000999      0.004740
PDGFD_PDGFRB         0.039516   8.352213   0.000999      0.004740
LAMC1_ITGB1          0.039443   8.324036   0.000999      0.004740
PLAU_ITGB2           0.039217   8.066893   0.000999      0.004740
LRPAP1_LDLR          0.039167   8.453811   0.000999      0.004740
ICAM1_ITGAX          0.039097   8.201980   0.000999      0.004740
SELPLG_SELP          0.039038   8.124567   0.000999      0.004740
TGFB1_ACVRL1         0.038961   8.545876   0.000999      0.004740
LAMA2_ITGA7          0.038751   8.432765   0.000999      0.004740
ANXA1_DYSF           0.038680   8.043996   0.000999      0.004740
GNAS_ADORA1          0.038608   7.843818   0.000999      0.004740
MIA_CDH19            0.038576   7.833131   0.000999      0.004740
PLAU_LRP1            0.038452   8.539925   0.000999      0.004740
FBN1_ITGB1           0.038441   8.145329   0.000999      0.004740
CFH_ITGAM            0.038288   8.279648   0.000999      0.004740
SEMA4D_CD72          0.038232   8.089865   0.000999      0.004740
GNAI2_FPR1           0.038189   8.225035   0.000999      0.004740
TIMP2_ITGB1          0.038147   8.379651   0.000999      0.004740
PTDSS1_SCARB1        0.037905   8.188651   0.000999      0.004740
LAMA2_ITGA1          0.037650   8.023284   0.000999      0.004740
VCAM1_ITGB7          0.037650   7.874708   0.000999      0.004740
HLA-A_KIR2DL1        0.037490   7.978455   0.000999      0.004740
PSPN_GFRA1           0.037460   7.843281   0.000999      0.004740
COL4A1_ITGAV         0.037021   8.194921   0.000999      0.004740
CALM3_INSR           0.036652   7.533163   0.000999      0.004740
LYPD3_AGR2           0.036483   7.747035   0.000999      0.004740
LRPAP1_SORT1         0.036337   7.677681   0.000999      0.004740
LY86_CD180           0.036319   7.797497   0.000999      0.004740
TFPI_F3              0.036060   7.683642   0.000999      0.004740
PDGFC_PDGFRB         0.035843   7.485785   0.000999      0.004740
THBS2_ITGB1          0.035554   7.371760   0.000999      0.004740
ADAM15_ITGB1         0.035408   7.607750   0.000999      0.004740
TGFA_ERBB2           0.035116   7.704143   0.000999      0.004740
CALR_LRP1            0.035078   7.760617   0.000999      0.004740
ADAM9_ITGB5          0.035066   7.551184   0.000999      0.004740
PLAU_IGF2R           0.034839   7.553956   0.000999      0.004740
SPON2_ITGAM          0.034637   7.341711   0.000999      0.004740
COL7A1_ITGB1         0.034408   7.672493   0.000999      0.004740
LAMB1_ITGA7          0.034178   7.199615   0.000999      0.004740
RSPO3_LGR5           0.034034   7.403813   0.000999      0.004740
TNC_ITGAV            0.033966   6.913898   0.000999      0.004740
BTC_ERBB3            0.033919   7.196401   0.000999      0.004740
C1QTNF1_AVPR2        0.033739   7.281919   0.000999      0.004740
VCAN_ITGA4           0.033644   7.231483   0.000999      0.004740
CALM2_ABCA1          0.033208   6.986297   0.000999      0.004740
MST1_MST1R           0.032907   7.013670   0.000999      0.004740
EFNB2_PECAM1         0.032894   6.822439   0.000999      0.004740
B2M_LILRB1           0.032806   7.004908   0.000999      0.004740
FN1_NT5E             0.032703   6.863588   0.000999      0.004740
L1CAM_ERBB3          0.032585   6.757319   0.000999      0.004740
TGFA_ERBB3           0.032375   6.773610   0.000999      0.004740
RTN4_RTN4RL1         0.032343   6.994040   0.000999      0.004740
THBS2_ITGA6          0.032197   6.902812   0.000999      0.004740
SEMA3A_NRP2          0.032170   6.893196   0.000999      0.004740
SEMA4C_PLXNB2        0.032152   6.650135   0.000999      0.004740
LTA_TNFRSF14         0.031964   6.837325   0.000999      0.004740
LAMA4_ITGA6          0.031882   6.859793   0.000999      0.004740
LAMA1_ITGA7          0.031759   6.591243   0.000999      0.004740
SERPINE1_ITGAV       0.031384   6.709024   0.000999      0.004740
COL1A1_ITGB1         0.031290   6.750819   0.000999      0.004740
FN1_C5AR1            0.031282   6.858413   0.000999      0.004740
RGMB_NEO1            0.031176   6.662067   0.000999      0.004740
FN1_COL13A1          0.030863   6.522014   0.000999      0.004740
PLAU_ITGAV           0.030841   6.879339   0.000999      0.004740
BMP2_ENG             0.030652   6.442757   0.000999      0.004740
IL15_IL2RG           0.030546   6.499143   0.000999      0.004740
TGFB1_SDC2           0.030431   6.621181   0.000999      0.004740
CTGF_ITGAM           0.030197   6.656353   0.000999      0.004740
FGF7_NRP1            0.030109   6.399545   0.000999      0.004740
IL15_IL2RB           0.029910   6.242092   0.000999      0.004740
COL8A1_ITGA1         0.029880   6.676778   0.000999      0.004740
ICAM1_ITGAM          0.029825   6.472917   0.000999      0.004740
MDK_SDC3             0.029751   6.077074   0.000999      0.004740
L1CAM_ERBB2          0.029577   6.470150   0.000999      0.004740
PGF_NRP1             0.029308   6.385746   0.000999      0.004740
COL1A2_ITGB1         0.029244   6.095883   0.000999      0.004740
WNT3_RYK             0.029237   6.199643   0.000999      0.004740
ICAM1_IL2RA          0.029222   6.287080   0.000999      0.004740
LAMB3_ITGB4          0.029187   6.022643   0.000999      0.004740
COL4A5_ITGA2         0.029067   6.374377   0.000999      0.004740
VCAN_TLR2            0.029056   6.445417   0.000999      0.004740
CCL2_CCR5            0.029055   6.300649   0.000999      0.004740
PIP_NPTN             0.029029   6.158384   0.000999      0.004740
FN1_CD79A            0.028891   6.177683   0.000999      0.004740
ADAM12_ITGA9         0.028769   5.951313   0.000999      0.004740
SLIT2_ROBO4          0.028769   6.267005   0.000999      0.004740
HLA-A_KIR3DL2        0.028500   5.847275   0.000999      0.004740
IL34_CSF1R           0.028439   6.001060   0.000999      0.004740
TGFB1_CD109          0.028333   6.187057   0.000999      0.004740
TNC_ITGA5            0.028300   5.796468   0.000999      0.004740
TNFSF10_TNFRSF10A    0.028286   5.914765   0.000999      0.004740
COL6A3_ITGB1         0.027803   5.971830   0.000999      0.004740
HLA-B_KIR2DL3        0.027462   6.038425   0.000999      0.004740
SEMA4B_DCBLD2        0.027323   5.924444   0.000999      0.004740
LAMA2_ITGA6          0.027230   5.836179   0.000999      0.004740
WNT3_LRP6            0.027225   5.791893   0.000999      0.004740
INHBB_ACVR1B         0.027110   5.837650   0.000999      0.004740
HRAS_SDC2            0.027051   5.642650   0.000999      0.004740
MDK_TSPAN1           0.027020   5.649433   0.000999      0.004740
LAMB1_ITGA1          0.026986   5.793266   0.000999      0.004740
B2M_KIR2DL3          0.026761   5.785937   0.000999      0.004740
GNAI2_EDNRB          0.026694   5.721764   0.000999      0.004740
B2M_KLRC1            0.026643   5.599025   0.000999      0.004740
F8_LDLR              0.026543   5.753050   0.000999      0.004740
LAMA5_ITGA2          0.026499   5.683290   0.000999      0.004740
LAMC2_ITGB4          0.026464   5.499818   0.000999      0.004740
ANXA1_EGFR           0.026309   5.399560   0.000999      0.004740
MFAP2_NOTCH1         0.026276   5.350982   0.000999      0.004740
ICAM4_ITGB2          0.026191   5.558909   0.000999      0.004740
TNFSF13B_TNFRSF13C   0.026175   5.631383   0.000999      0.004740
LAMB3_ITGA2          0.026048   5.499343   0.000999      0.004740
FN1_FLT4             0.026031   5.593580   0.000999      0.004740
PTGS2_CAV1           0.025998   5.418003   0.000999      0.004740
CALR_ITGA3           0.025968   5.438842   0.000999      0.004740
FN1_ITGA9            0.025891   5.446255   0.000999      0.004740
LAMB1_ITGA6          0.025877   5.435023   0.000999      0.004740
INHBB_ACVR2B         0.025672   5.370109   0.000999      0.004740
TCTN1_TMEM67         0.025613   5.366488   0.000999      0.004740
F10_ITGB2            0.025432   5.343208   0.000999      0.004740
COL5A1_SDC3          0.025399   5.521645   0.000999      0.004740
