trial,method,scenario,scenario_desc,r,rho,rmse
86,spacet_v0_none,sparse,Sparse (alpha=0.3),0.82148437708425,0.7717220626985161,0.09697558498464762
86,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.7322333508946303,0.675182745332018,0.1575232984321491
86,spacet_v1_ratio,titration,Titration (0-90%),0.7170565456377952,0.709555657140597,0.1262709372764731
86,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.7158469160929007,0.7085601623052652,0.0753941181471816
86,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.8196047432332909,0.7728672759111085,0.09749530886539459
86,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.8205733497078733,0.6949628394060018,0.13331240501515318
86,spacet_v3_irwls,titration,Titration (0-90%),0.8295886010814438,0.7768970210224956,0.10013861701238153
86,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8074865529737663,0.8264935633103749,0.060313614908452884
86,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.8990343174525547,0.8158596944573272,0.07337785668126327
86,music,tumor_purity,Tumor Purity (60-90%),0.9267006584923014,0.57393219173168,0.09582428836660598
86,music,titration,Titration (0-90%),0.8796589995915477,0.6661159656025283,0.08659162853243244
86,music,uniform,Uniform (alpha=1.0),0.738353468122019,0.6885516134722016,0.0744810261035699
86,music,sparse,Sparse (alpha=0.3),0.8853992641848405,0.7379717358666135,0.07802877975101027
86,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.2506806193179479,0.42618305411032886,0.24656893109119637
86,dwls_minor,titration,Titration (0-90%),0.18407550390010813,0.3947125649574335,0.22274799217215865
86,dwls_minor,uniform,Uniform (alpha=1.0),0.18128555391755066,0.46711138573081146,0.2017370829502368
86,dwls_minor,sparse,Sparse (alpha=0.3),0.4659683038360657,0.6464397072685172,0.18615589610555147
87,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.5755421314827481,0.5509969721947107,0.19117691162450973
87,spacet_v0_none,titration,Titration (0-90%),0.5992328991409558,0.6911713599815966,0.13729276472246665
87,spacet_v0_none,uniform,Uniform (alpha=1.0),0.7327508876017752,0.7716224811834115,0.07126386074202085
87,spacet_v0_none,sparse,Sparse (alpha=0.3),0.831877818739598,0.8029730969657974,0.08884873033701843
87,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.6472104434056496,0.5830652350989883,0.17899320121493642
87,spacet_v1_ratio,titration,Titration (0-90%),0.6522265041018928,0.7017831374815398,0.12959896024605774
87,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.7371314042009677,0.7756935219085557,0.07047136115834729
87,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.8374932825789781,0.8082578842720658,0.08731939285264295
87,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.8724226430865029,0.6964138049619308,0.12796322614313962
87,spacet_v3_irwls,titration,Titration (0-90%),0.8754110224503573,0.7790556912361213,0.08542001478035274
87,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8321202545845968,0.8567419513745569,0.05527806212781746
87,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.919423823936991,0.8725022520134924,0.0628454937631844
87,music,tumor_purity,Tumor Purity (60-90%),0.7893684078386326,0.560762126413426,0.16739733840775917
87,music,titration,Titration (0-90%),0.7425878608493872,0.7175166785916751,0.1193778933477488
87,music,uniform,Uniform (alpha=1.0),0.8704983342106538,0.8537287661500923,0.05010829524611804
87,music,sparse,Sparse (alpha=0.3),0.9136124180965873,0.8432088175540587,0.064623995952693
87,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.9116686932627267,0.7618530979105691,0.11866394666228217
87,dwls_minor,titration,Titration (0-90%),0.901303634738185,0.85019579164113,0.0829917460639144
87,dwls_minor,uniform,Uniform (alpha=1.0),0.949094225394588,0.9453648308739191,0.03105880812425683
87,dwls_minor,sparse,Sparse (alpha=0.3),0.9671015176133857,0.9207638354352486,0.04080089901136608
88,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.7247582058944055,0.6546416221771825,0.15850948405951668
88,spacet_v0_none,titration,Titration (0-90%),0.7435707038555944,0.7308156123331695,0.11190271126163509
88,spacet_v0_none,uniform,Uniform (alpha=1.0),0.8342606852189802,0.8326818651805714,0.05691531861446001
88,spacet_v0_none,sparse,Sparse (alpha=0.3),0.9013488942214932,0.8548494033049523,0.07484937432346711
88,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.7358542711306327,0.6673496341047277,0.15585238113456687
88,spacet_v1_ratio,titration,Titration (0-90%),0.7530505260567252,0.7359573021631058,0.1100898482018943
88,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.8357628387752581,0.8342864816112124,0.056628170343445895
88,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.9031731494150183,0.8554634826789974,0.07421993845619661
88,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.8993164020271965,0.6980927346177145,0.10778748229016906
88,spacet_v3_irwls,titration,Titration (0-90%),0.8373793176040912,0.7558217558101091,0.0917570887126859
88,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8335238730575287,0.8426729960845325,0.05749670361243571
88,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9159352077850224,0.8621778638170633,0.06945557910690804
88,music,tumor_purity,Tumor Purity (60-90%),0.9892304349446002,0.7013167802882948,0.06164319559971065
88,music,titration,Titration (0-90%),0.9655998754818061,0.8322176609138517,0.05109006639405705
88,music,uniform,Uniform (alpha=1.0),0.894741798377075,0.8617062762826674,0.04533068895362446
88,music,sparse,Sparse (alpha=0.3),0.9556172821467661,0.8391202586850467,0.05159627349736115
88,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.8932961069362862,0.7350491052697341,0.1255743747697501
88,dwls_minor,titration,Titration (0-90%),0.7724173698804779,0.747248475812492,0.10659007149999596
88,dwls_minor,uniform,Uniform (alpha=1.0),0.6948210803617153,0.8020059142096748,0.09474591484686473
88,dwls_minor,sparse,Sparse (alpha=0.3),0.8872532145662572,0.8630993928711487,0.0821828650749277
89,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.9379761990342649,0.714746073043918,0.07995104655843022
89,spacet_v0_none,titration,Titration (0-90%),0.8774959727749375,0.7640740986218598,0.07698156177343071
89,spacet_v0_none,uniform,Uniform (alpha=1.0),0.7597148017806954,0.7358681471487319,0.06960270021302574
89,spacet_v0_none,sparse,Sparse (alpha=0.3),0.8838088618865718,0.8068608932436259,0.0786296195254459
89,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.9433981708270922,0.7342718029954388,0.0763747346694469
89,spacet_v1_ratio,titration,Titration (0-90%),0.8819204092001418,0.7693128940863393,0.07636486807673823
89,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.7610182874350506,0.7379148549926675,0.06964769268259079
89,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.8849503752390456,0.8090922930118796,0.07830477410559683
89,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.9490260308481604,0.6603319449799672,0.07450829260677952
89,spacet_v3_irwls,titration,Titration (0-90%),0.9085093930078788,0.7773944768828014,0.06613678278027495
89,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.780264390562363,0.7621744726009351,0.06570543247165764
89,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9063359954820042,0.8246431410698745,0.07067484380157531
89,music,tumor_purity,Tumor Purity (60-90%),0.986178565522112,0.6756228172076615,0.050792398169265895
89,music,titration,Titration (0-90%),0.9040678501645174,0.7941453594922819,0.06552538785049197
89,music,uniform,Uniform (alpha=1.0),0.696818498161351,0.7668702786491308,0.07984028569948169
89,music,sparse,Sparse (alpha=0.3),0.8773877136442468,0.7810165567712745,0.08021782432770425
89,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.8856881876270929,0.7560990597256161,0.1194166909860994
89,dwls_minor,titration,Titration (0-90%),0.8665467246856943,0.8433252274545252,0.07900807614535078
89,dwls_minor,uniform,Uniform (alpha=1.0),0.9342763376176475,0.9377044668520497,0.03475675506664193
89,dwls_minor,sparse,Sparse (alpha=0.3),0.9707748564033213,0.9181959918547746,0.04014931625974524
90,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.424275165927868,0.5686913736776492,0.21655908670102794
90,spacet_v0_none,titration,Titration (0-90%),0.4827416754134193,0.6623747582544536,0.1436405000798244
90,spacet_v0_none,uniform,Uniform (alpha=1.0),0.7763005349237126,0.7685535869135252,0.06949032383076403
90,spacet_v0_none,sparse,Sparse (alpha=0.3),0.837678213277591,0.8246693105180448,0.09344033762464049
90,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.5061734463570526,0.582909512585382,0.203468701527546
90,spacet_v1_ratio,titration,Titration (0-90%),0.5416646461944632,0.6834639513608007,0.1355889619282816
90,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.7877648790829986,0.7819986637280123,0.06726194145107224
90,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.8502642479571504,0.8313865804057975,0.08959096579344224
90,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.9735704371318156,0.6983939831486055,0.0791194512941423
90,spacet_v3_irwls,titration,Titration (0-90%),0.9423685899072861,0.8167195298815834,0.05434917800706051
90,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8543952607274443,0.8412509386236532,0.05291441155260173
90,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9242696180047484,0.8547418693417435,0.06362936181006204
90,music,tumor_purity,Tumor Purity (60-90%),0.6203966552353474,0.5652289915638253,0.18587438135433826
90,music,titration,Titration (0-90%),0.6010215120162374,0.6351921634755322,0.12606541961271506
