                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
LDLRAD4           3.020692e-01   46.665943   0.000999      0.004052
RPL17             3.013753e-01   44.909369   0.000999      0.004052
CCL21             3.009929e-01   43.815723   0.000999      0.004052
CXCL9             3.007034e-01   45.762869   0.000999      0.004052
LDHA              3.006315e-01   45.504890   0.000999      0.004052
HSBP1             3.003365e-01   45.178713   0.000999      0.004052
RPS9              2.994036e-01   44.978583   0.000999      0.004052
BRINP3            2.993738e-01   46.208574   0.000999      0.004052
RPL10             2.992998e-01   43.488251   0.000999      0.004052
LUM               2.989700e-01   45.982467   0.000999      0.004052
DNAJC1            2.988603e-01   44.152826   0.000999      0.004052
TXN               2.977159e-01   43.367948   0.000999      0.004052
SPP1              2.973059e-01   46.564745   0.000999      0.004052
VSTM2A            2.972932e-01   47.075589   0.000999      0.004052
ADIPOR1           2.972557e-01   45.573591   0.000999      0.004052
PDE5A             2.970106e-01   44.248227   0.000999      0.004052
SNAP25            2.963897e-01   44.413019   0.000999      0.004052
TRBC2             2.962740e-01   43.613945   0.000999      0.004052
RPS15             2.960567e-01   44.957170   0.000999      0.004052
KRT6B             2.955671e-01   45.219885   0.000999      0.004052
RPL36A            2.949105e-01   44.647446   0.000999      0.004052
ATP5MPL           2.948815e-01   45.984663   0.000999      0.004052
SUSD3             2.933882e-01   43.237249   0.000999      0.004052
RPS2              2.912439e-01   44.166331   0.000999      0.004052
ABCC5             2.910201e-01   45.182081   0.000999      0.004052
MUC5B             2.909405e-01   43.820412   0.000999      0.004052
PCBP2             2.907595e-01   42.779253   0.000999      0.004052
TOB1              2.902851e-01   44.086357   0.000999      0.004052
CARTPT            2.901572e-01   44.417866   0.000999      0.004052
CST1              2.901331e-01   43.675479   0.000999      0.004052
UQCRB             2.898526e-01   43.726236   0.000999      0.004052
CLDN7             2.892964e-01   43.705941   0.000999      0.004052
TSPAN13           2.888111e-01   44.079776   0.000999      0.004052
S100A2            2.878117e-01   44.170925   0.000999      0.004052
METRN             2.876636e-01   43.695593   0.000999      0.004052
CHCHD2            2.872575e-01   42.641570   0.000999      0.004052
TMA7              2.866016e-01   42.638159   0.000999      0.004052
FKBP4             2.865500e-01   41.380145   0.000999      0.004052
ACKR1             2.863320e-01   43.061186   0.000999      0.004052
NDUFA1            2.861580e-01   42.638847   0.000999      0.004052
MAGED2            2.849217e-01   45.033076   0.000999      0.004052
TCEAL3            2.846297e-01   43.254593   0.000999      0.004052
COMP              2.843037e-01   43.904970   0.000999      0.004052
COX6A1            2.842604e-01   41.746467   0.000999      0.004052
C1R               2.837825e-01   43.198155   0.000999      0.004052
YWHAE             2.836063e-01   45.095520   0.000999      0.004052
MESP1             2.834086e-01   42.843614   0.000999      0.004052
NQO1              2.832059e-01   43.190966   0.000999      0.004052
SFRP4             2.828349e-01   44.098365   0.000999      0.004052
RPS18             2.827525e-01   43.285164   0.000999      0.004052
ABCC12            2.827066e-01   45.265383   0.000999      0.004052
NAT1              2.819730e-01   44.059920   0.000999      0.004052
RPL18A            2.819656e-01   43.456130   0.000999      0.004052
RPS12             2.817209e-01   41.751997   0.000999      0.004052
CCNO              2.811313e-01   44.169518   0.000999      0.004052
PTGES             2.808180e-01   41.097174   0.000999      0.004052
SAA1              2.801985e-01   42.235791   0.000999      0.004052
SCUBE2            2.790693e-01   43.213469   0.000999      0.004052
HIST1H1C          2.787605e-01   42.883098   0.000999      0.004052
