"","Hepatocyte","Cholangiocyte"
"TMEM53",2.3463441381913,1.98547525707717
"KIF2C",0.254211656057827,1.07622277440671
"RPS8",240.324117367496,327.72865554235
"BEST4",0.0102395050714585,0.079715634428839
"PLK3",1.5082090928013,2.39247909671729
"TCTEX1D4",0.0360562856915001,0.0461179114042721
"BTBD19",0.0816529928778693,0.283670259429635
"PTCH2",0.166142728434229,0.603842310178413
"EIF2B3",1.18209118973528,1.06936292286156
"HECTD3",0.302808600960502,0.364701679389328
"UROD",2.46689848993768,3.29524716765304
"ZSWIM5",0.00724864080025762,0.294955860379339
"MUTYH",0.346969689417686,1.32082562642609
"TOE1",0.352689297797487,0.621190784173774
"TESK2",0.399576410597207,0.42593172447453
"MMACHC",0.54988114821293,0.664407208097986
"PRDX1",49.9773669906983,59.8284242129754
"AKR1A1",9.51200802423165,10.1599619439365
"NASP",3.33961645877458,5.22012165961786
"CCDC17",0.0122719412759692,0.0284606405662451
"GPBP1L1",2.42950220971078,4.35106220131362
"TMEM69",0.828729563855494,1.49743862406629
"IPP",0.328486075865824,1.03199272290992
"MAST2",0.228413243048027,0.321640395969849
"PIK3R3",0.14988688832401,0.886530725565606
"TSPAN1",0.300439406111676,2.02954742944721
"POMGNT1",0.623645084699195,2.1299530298208
"LURAP1",0.208314723945636,0
"RAD54L",0.0331374686789048,0.0786330869638733
"LRRC41",0.875445542987822,1.8430020692324
"UQCRH",32.5841353013561,55.2895590208574
"NSUN4",0.220474464052753,0.865638456413977
"FAAH",0.394201234384033,0.888372772652754
"MKNK1",0.900967332582641,1.51462164701195
"MOB3C",0.197573160375935,0.237655725004984
"ATPAF1",2.6201402451902,2.0022179710513
"EFCAB14",1.70201291726945,4.90365831613985
"CYP4A11",4.87427910624472,0.44048773791005
"CYP4X1",0.217476517646436,0.054000166914417
"CYP4A22",1.07719473571504,0.0206940023400778
"LINC00853",0.115140453632433,0.220658902582297
"PDZK1IP1",3.40072594774342,24.9106109932209
"TAL1",0.00143222286029342,0
"STIL",0.158323873698393,0.162506126159054
"CMPK1",13.0671508263233,17.4818381634815
"LINC01389",0.0391504874953562,0
"FOXD2-AS1",0.0504856727455802,0.0274862932727023
"FOXD2",0.0473191830910267,0.103180371389562
"TRABD2B",0.0867110427145815,1.04200131811621
"SLC5A9",0.082803335210561,0.439571455416865
"SPATA6",0.0902873900363843,1.33941977438865
"BEND5",0.101739224322532,0.859653804650159
"ELAVL4",0,0
"FAF1",0.70972015226729,1.70780541414746
"CDKN2C",0.816647070627648,0.848831521842005
"RNF11",3.14731045605904,4.05979655824064
"TTC39A",0.422191604417728,0.865746617318492
"TTC39A-AS1",0.00981623391166843,0
"EPS15",1.74383813817544,2.12530282948011
"OSBPL9",2.20968658542814,4.23971826364682
"NRDC",2.75654103551656,4.83852464325243
"RAB3B",0.955363823875056,0.716177599714439
"TXNDC12",2.76943131638719,4.85057161058097
"KTI12",0.247193868363228,1.02220216965967
"BTF3L4",4.33479397882514,7.93086870604885
"ZFYVE9",0.184037355522949,0.937361523140198
"CC2D1B",0.304796912762841,0.488110279483017
"ORC1",0.0266543691330802,0.188635609308469
"PRPF38A",1.74683796387794,3.81846847301398
"GPX7",0.245930397077898,1.68161389887569
"COA7",0.494560818221042,0.850853966116148
"ZYG11B",1.08132909676385,2.02192434371681
"ECHDC2",14.106992769863,8.08885322186846
"SCP2",28.4703055815402,20.8505768179201
"PODN",0.0250719896976983,0.0297995888252734
"SLC1A7",0.0675562977431959,0.390859139988448
"CPT2",1.597056569653,1.65668697783013
"MAGOH",5.31404256382311,8.76142773547716
"LRP8",0.0647685072662087,0.265604495285124
"NDC1",0.303399754552596,0.565543552173745
"YIPF1",0.97900962633227,1.05792779343584
"DIO1",2.64724265227496,0.763371699961874
"HSPB11",5.25247390694459,7.8136883310803
"LRRC42",0.807787177344489,3.53531540180288
"LDLRAD1",0.0312660871748598,0.0395604639345367
"TMEM59",19.4687410430044,48.1711859833784
"TCEANC2",0.201225431873248,0.258188024037854
"CYB5RL",0.040073253456115,0.486932689501673
"MRPL37",3.30792558881308,4.3317248101351
"SSBP3",1.64443450119361,2.15609879713732
"ACOT11",0.0156076382263977,0.497954402264133
"TTC4",0.201883223621311,0.507967400284134
"PARS2",0.0251286663289027,0.207713953071548
"TTC22",0.184849636195372,0.962254382520228
"DHCR24",8.7027272854849,8.34754064384152
"TMEM61",0.0906458830586382,0.484399010554131
"PCSK9",0.392516800907969,0.64405138803635
"USP24",0.294854823411624,1.94435514430381
"PLPP3",1.05827084791089,2.40260433601116
"PRKAA2",0.311148283685466,2.09149237609015
"C8A",5.8043346667288,0.730638762483803
"C8B",7.30903806345964,0.677478508952794
"DAB1",0.156259468615757,0
"OMA1",1.17977634378457,1.30541836057639
"TACSTD2",0.0322057234480091,36.826153865811
"MYSM1",0.704782828574996,2.40531878387746
"JUN",22.0963356016586,103.338608697309
"LINC01358",0.128117192801499,0.0227623328610326
"FGGY",11.8028120104615,27.6531801276566
